date,category,description,amount
2026-01-01,Entertainment,Event,628
2026-01-01,Education,Exam fee,4178
2026-01-01,Healthcare,Medical test,2035
2026-01-01,Education,Books,3243
2026-01-02,Education,Exam fee,2773
2026-01-02,Transport,Bus fare,1765
2026-01-02,Bills,Subscription,1487
2026-01-02,Bills,Electricity bill,386
2026-01-02,Bills,Internet bill,1073
2026-01-02,Bills,Internet bill,1085
2026-01-02,Food,Restaurant,898
2026-01-03,Education,Printing,1625
2026-01-03,Healthcare,Medical test,1199
2026-01-03,Shopping,Electronics,4441
2026-01-03,Shopping,Clothes,1425
2026-01-03,Entertainment,Cafe,1428
2026-01-03,Shopping,Personal items,1560
2026-01-03,Other,Miscellaneous,4149
2026-01-04,Shopping,Personal items,2055
2026-01-04,Other,Miscellaneous,4555
2026-01-04,Other,Unexpected expense,3337
2026-01-04,Other,Donation,3884
2026-01-04,Entertainment,Event,1273
2026-01-04,Education,Books,3351
2026-01-04,Entertainment,Streaming subscription,1310
2026-01-04,Healthcare,Doctor consultation,2247
2026-01-05,Education,Python course,1595
2026-01-05,Shopping,Electronics,2924
2026-01-05,Other,Donation,420
2026-01-05,Food,Snacks,1427
2026-01-06,Other,Miscellaneous,2031
2026-01-06,Healthcare,Medical test,4600
2026-01-06,Transport,Parking,1458
2026-01-06,Education,Python course,3908
2026-01-07,Other,Donation,978
2026-01-07,Entertainment,Gaming,2371
2026-01-07,Bills,Internet bill,1637
2026-01-07,Other,Gift,438
2026-01-07,Food,Restaurant,401
2026-01-07,Bills,Internet bill,1549
2026-01-08,Shopping,Electronics,5427
2026-01-08,Education,Exam fee,3302
2026-01-09,Other,Unexpected expense,1954
2026-01-09,Entertainment,Gaming,533
2026-01-09,Food,Snacks,882
2026-01-09,Food,College canteen,718
2026-01-09,Transport,Cab,1212
2026-01-10,Other,Unexpected expense,4644
2026-01-10,Bills,Subscription,302
2026-01-10,Bills,Mobile recharge,1094
2026-01-10,Transport,Auto fare,586
2026-01-10,Entertainment,Gaming,1286
2026-01-11,Healthcare,Medical test,2185
2026-01-11,Shopping,Accessories,4328
2026-01-11,Entertainment,Event,2353
2026-01-11,Bills,Internet bill,1025
2026-01-11,Food,Breakfast,1258
2026-01-11,Entertainment,Streaming subscription,2566
2026-01-11,Entertainment,Gaming,2424
2026-01-11,Education,Python course,1786
2026-01-11,Entertainment,Cafe,1122
2026-01-11,Food,Restaurant,1325
2026-01-11,Transport,Cab,430
2026-01-12,Food,Snacks,1422
2026-01-12,Bills,Electricity bill,4966
2026-01-12,Bills,Electricity bill,2066
2026-01-12,Transport,Metro,1361
2026-01-13,Entertainment,Movie,1875
2026-01-13,Other,Donation,4503
2026-01-13,Education,Python course,2796
2026-01-13,Other,Miscellaneous,2047
2026-01-13,Shopping,Electronics,857
2026-01-13,Food,College canteen,628
2026-01-14,Food,Snacks,969
2026-01-14,Other,Miscellaneous,4424
2026-01-14,Bills,Subscription,4125
2026-01-14,Transport,Parking,1638
2026-01-14,Bills,Internet bill,1289
2026-01-14,Bills,Electricity bill,2028
2026-01-15,Food,Dinner,1499
2026-01-15,Entertainment,Event,554
2026-01-15,Entertainment,Streaming subscription,325
2026-01-15,Shopping,Shoes,348
2026-01-15,Transport,Auto fare,884
2026-01-15,Food,Dinner,690
2026-01-15,Transport,Auto fare,905
2026-01-15,Healthcare,Doctor consultation,869
2026-01-16,Entertainment,Movie,1872
2026-01-16,Transport,Bus fare,31
2026-01-17,Healthcare,Medicine,243
2026-01-17,Transport,Parking,1189
2026-01-17,Shopping,Accessories,5976
2026-01-17,Education,Books,2604
2026-01-17,Bills,Internet bill,3899
2026-01-18,Bills,Internet bill,4168
2026-01-18,Entertainment,Gaming,2227
2026-01-18,Other,Gift,1342
2026-01-18,Transport,Bus fare,901
2026-01-19,Healthcare,Doctor consultation,2282
2026-01-19,Food,College canteen,1208
2026-01-19,Healthcare,Doctor consultation,2517
2026-01-19,Healthcare,Doctor consultation,991
2026-01-19,Healthcare,Medical test,2213
